1 interviewerTlsg06:  well eh could you tell us first of eh where you were born please  DORM: 1.86, DORM-UIDO:1.31,
2 informantTlsg06a:  i was born in newcastle  DORM: 1.62, DORM-UIDO:0.04,
3 interviewerTlsg06:  were you whereabouts  DORM: 2.33, DORM-UIDO:1.82,
4 informantTlsg06a:  liverpool street  DORM: 0.00, DORM-UIDO:0.00,
5 interviewerTlsg06:  yes whereabouts is that again  DORM: 3.20, DORM-UIDO:1.70,
6 informantTlsg06a:  [unclear]  percy street but it's nowhere now it's finished  DORM: 3.42, DORM-UIDO:2.44,
7 interviewerTlsg06:  it's gone now  DORM: 1.85, DORM-UIDO:1.01,
8 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
9 interviewerTlsg06:  yes yes eh and ehm whereabouts else have you lived you know how long did you stay there  DORM: 2.99, DORM-UIDO:1.89,
10 informantTlsg06a:  well i was over there a long time i was bred and born in newcastle  DORM: 1.67, DORM-UIDO:0.49,
11 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
12 informantTlsg06a:  and i come over hear when eh i had the eh two babies i had sara no sara and joe over newcastle and when i come over here i had the third one  DORM: 2.13, DORM-UIDO:1.44,
13 interviewerTlsg06:  oh i see yes  DORM: 1.10, DORM-UIDO:0.31,
14 informantTlsg06a:  i had nora  DORM: 3.02, DORM-UIDO:2.38,
15 interviewerTlsg06:  i see and you've just lived in this house have you in gateshead  DORM: 2.05, DORM-UIDO:0.40,
16 informantTlsg06a:  all the time yes uhhuh i was down in cowper street first  DORM: 4.19, DORM-UIDO:2.01,
17 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
18 informantTlsg06a:  that's on askew road  DORM: 4.50, DORM-UIDO:2.38,
19 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
20 informantTlsg06a:  and then i come up here and i've been here ever since  DORM: 1.46, DORM-UIDO:0.99,
21 interviewerTlsg06:  aye yeah eh which place did you like best to live in you know how did gateshead compare with newcastle do you think  DORM: 2.93, DORM-UIDO:1.95,
22 informantTlsg06a:  well i think they're both the same  DORM: 0.65, DORM-UIDO:0.06,
23 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
24 informantTlsg06a:  yes i made myself quite happy in cowper street  DORM: 2.74, DORM-UIDO:1.28,
25 interviewerTlsg06:  mmhm yes what about  DORM: 4.08, DORM-UIDO:1.08,
26 informantTlsg06a:  i was about eleven year there cowper street then come up here been here ever since oh [pause]  oh it was quite nice at one time here but oh it's getting awful now  DORM: 2.40, DORM-UIDO:1.54,
27 interviewerTlsg06:  oh we  w  what's wrong with it now like  DORM: 1.27, DORM-UIDO:0.70,
28 informantTlsg06a:  well they're getting all the little kids in  DORM: 1.59, DORM-UIDO:0.99,
29 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
30 informantTlsg06a:  oh and it's ridiculous they go and interfere with the gardens and everything  DORM: 2.07, DORM-UIDO:0.97,
31 interviewerTlsg06:  [unclear]  aye [pause]  would you say that ehm you were fairly attached to tyneside you know as a  place to live  DORM: 3.29, DORM-UIDO:1.98,
32 informantTlsg06a:  oh yes yes aye oh aye  DORM: 1.27, DORM-UIDO:0.02,
33 interviewerTlsg06:  you would never move away i mean you've never been tempted to  DORM: 1.62, DORM-UIDO:0.85,
34 informantTlsg06a:  no i've never been away at all not from here  DORM: 1.01, DORM-UIDO:0.60,
35 interviewerTlsg06:  do you think that ehm tynesiders are very different you know from people from other parts of the country  DORM: 9.19, DORM-UIDO:3.73,
36 informantTlsg06a:  oh yes yes the tynesiders are [pause]  th  they're friendly up here very friendly  DORM: 7.84, DORM-UIDO:2.05,
37 interviewerTlsg06:  yes most people say that ehm [pause]  whereabouts eh [pause]  were your parents born please were they born in  newcastle  DORM: 3.20, DORM-UIDO:2.38,
38 informantTlsg06a:  they were born newcastle ehm i think my father was born in born in durham somewhere  DORM: 3.12, DORM-UIDO:2.22,
39 interviewerTlsg06:  ah yes and they all l  and they both lived locally all their lives  DORM: 2.38, DORM-UIDO:1.83,
40 informantTlsg06a:  oh yes yes they did uhhuh  DORM: 2.94, DORM-UIDO:0.26,
41 interviewerTlsg06:  and eh what was your father's occupation  DORM: 2.78, DORM-UIDO:1.55,
42 informantTlsg06a:  he was just a labourer well he was a crane man at armstrong's  DORM: 3.24, DORM-UIDO:0.86,
43 interviewerTlsg06:  aye yes yes ehm eh can i ask you how old you are at the moment  DORM: 3.59, DORM-UIDO:2.41,
44 informantTlsg06a:  i'm seventy six  DORM: 2.82, DORM-UIDO:0.89,
45 interviewerTlsg06:  eh could you tell us ehm you know what what jobs you've done in your life sort of  DORM: 2.32, DORM-UIDO:1.22,
46 informantTlsg06a:  well i think i've mostly been i've mostly done home help  DORM: 1.93, DORM-UIDO:1.40,
47 interviewerTlsg06:  mm well what did you do when you first left school you know  DORM: 1.33, DORM-UIDO:0.80,
48 informantTlsg06a:  i just went to i went to saint [unclear]  school in the catholic school in newcastle  DORM: 2.78, DORM-UIDO:1.99,
49 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
50 informantTlsg06a:  and eh i left school when i was fourteen  DORM: 1.72, DORM-UIDO:0.56,
51 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
